:title_ja,:prefecture_ja,:address_ja,:description_ja,:workday_ja,:tel,:url,:genres_ja,:title_en,:prefecture_en,:address_en,:description_en,:workday_en,:genres_en,:photo_id
倶利加羅不動寺 強巴林,愛知県,名古屋市守山区青葉台101,"名古屋の友人に珍しい所があるという事で、倶利加羅不動寺に隣接をしている
強巴林というチベット仏教寺院に赴きました。

私は存じ上げていなかったのですが、ちょうど花まつり法要が執り行われており
多数の人・人・人　でとても盛況でした。
また、遠方から来た旨を伝えたところ、お忙しい中僧侶の方が寺院内のご説明を
してくださいました。

隣の倶利加羅不動寺では滝修行なども行っているとのことですので
名古屋に赴く際には一度いってみようかと思います。（夏ごろに）

おしいところ
ちょうど大きな法要が行われていたこともあり
駐車場が満車に近かったです。
また、近くに飲食店があまりありませんでした。",,052-736-4888,,寺院（観音・不動）,Kurikara Fudoji TsuyoTomomi Monastery,Aichi Prefecture,Nagoya City Moriyama-ku Aobadai 101,"With the fact that there is a rare place in Nagoya friend, you are adjacent to Luo 倶利 addition Fudoji
I have traveled to Tibet Buddhist temple that strength TomoeRin.

I was not Zonjiage, but has just flower festival memorial service is celebrated
It was a very great success in a number of people, people, people.
Moreover, when told to the effect that came from afar, who busy during the monks your description in the temple
Was, please.

Because in the next 倶利 ka la Fudoji said, that will be also carried out, such as Waterfalls training
When you go to Nagoya and I think I will try to say once. (In the summer)

Dear place
There just is also a large memorial service has been carried out
Is parking was close to full car.
In addition, close to restaurants did not have much.",,Temple (Goddess of Mercy-motionless),
飛騨大鍾乳洞,岐阜県,高山市丹生川町日面１１４７,2～3億年の時が創造した大自然の芸術、鍾乳洞。800mに及ぶ洞内には石柱が並び神秘的。世界の装飾品や置き物など約1000点が展示された大橋コレクション館も併設されている。,通年,0577-79-2211,http://www.syonyudo.com,洞窟,Hida large limestone cave,Gifu Prefecture,"Takayama-cho, Nyukawa Date surface 1147","There are 2-3 billion year old naturally created artistic limestone caves spanning almost 800 meters and stone pillars which seem to be in sequence.  There is also a Museum which houses examples of almost 1000 bridges throughout the world. 
",All year,Cave,
香林寺,石川県,金沢市野町1-3-15,"高校時代からのお友達と香林寺へ行きました。平日だったこともあり、空いていました。近くの忍者寺さんの案内係の対応が悪かったこともありますが、香林寺さんの案内係は丁寧で親切でした。
香林寺の特徴は願掛け寺らしく、静かな佇まいが魅力です。お寺独特の厳しさというより、寧ろ優しく包み込むような不思議なお寺でした。お庭は手入れが行き届いていて、小さいながらも京都のお寺と比べても遜色のない美しさでした。
お庭の羅漢様や干支の仏様は一様に穏やかな表情で、願を掛けるというより自然に手を合わせたくなるといった方がふさわしいのかもしれません。干支の仏様はお願い事をかきとめた、たすきが無数に掛けられていました。綺麗な色のたすきなので、ほほえましい感じです。お庭の中心にどっしり構えている白不動様は、なんと触れると美白の効果があるということです。普段白いお不動様を見かけませんが、白くてもお不動様は威厳がありました。上手に伝えることはできませんが、不思議なお寺です。お寺の職員に写真を見せて頂いたのですが、秋は白い彼岸花が庭一面に咲くようです。彼岸花が白色に変わるだけで、こんなに可憐な花に変わるのだと初めて知りました。とてもロマンチックです。少し不謹慎かもしれませんが、香林寺はカップルで訪れるよりも仲の良いお友達と訪れる方が、断然楽しい感じがしました。こんなのだから彼氏ができないのかな？？

おしいところ
お勤めから帰ってきたご御坊様達を偶然お目にかかりましたが、そんなのあり？？
恰好良すぎ。ご兄弟かしら？？　お二人ともご結婚されてますよね。涙",,076-247-5488,,寺院（観音・不動）,Korinji,Ishikawa Prefecture,Kanazawa Ichino-cho 1-3-15,"I went to Korinji with your friends from high school. Sometimes it was a weekday, it was empty. There is also that the corresponding near Ninja Temple's usher in was bad, but Korinji's usher in was polite and helpful.
Features of Korinji Rashiku Buddhist prayer temple, quiet appearance is attractive. Rather than a temple unique severity, it was a strange temple encompassing rather gently. Garden you are in good condition, was in no way inferior beauty even compared to small but the temples of Kyoto.
Rakan like and zodiac Buddha of your garden is a uniformly gentle expression, might have it is appropriate, such as want combined naturally hand rather than multiplying cancer. Buddha of the zodiac was write down your wish, sash had countless hung. Because it is beautiful colors of sash, it is pleasing feel. White motionless like are holding massive in the center of the garden is, is that how to touch and has the effect of whitening. I do not see the white tail motionless like usual, and white and also purchased immovable like there was a dignity. You can not tell very well, but it is a strange temple. And I was kindly showed photos to the temple of the staff, but autumn is white amaryllis seems bloom on one side yard. Only amaryllis is changed to white, I learned for the first time when he turns into so lovely flower. It is very romantic. Although there may be a little unscrupulous, Korinji is those who visit and good friends of relationship than visit a couple, we are by far the fun feel. I wonder if the can not boyfriend and because this of it? ?

Dear place
I've see you chance your Gobo like who came back from Otsutome, such of there? ?
Dressed too good. I wonder if your brother? ? Both two people I think you have been your marriage. Tear",,Temple (Goddess of Mercy-motionless),
飛騨の里,岐阜県,高山市上岡本町１丁目５９０,国の重要文化財4棟を含む、合掌造りなど飛騨地方の特色ある民家を移築・復元。館内の古民家では、わら細工・千鳥格子・さしこ細工などの実演及び体験教室が日替わりで行われている。,通年,0577-34-4711,http://www.hida.jp/hidanosato/,資料館・郷土館,Hida-no-Sato,Gifu Prefecture,Takayama Kamiokamoto cho 1-chome 590,"On Display are four large buildings containing the country’s cultural assets,which was relocated to the Hida region and restored.  One of the significant styles of these displays are the Gassho-style house.  In the rooms of the old house, they provide demonstrations, and experiences where you can learn about straw crafts, houndstooth, and needlework crafts daily.",all year,Local Museums,
黒部ダム,富山県,中新川郡立山町芦峅寺ブナ国有林,黒部川に造られたダムで、日本最大級のアーチ式ドーム型ダム。高さ186m、長さ492m、総貯水量約2億トン。昭和38（1963）年完成。観光放水は6月26日～10月15日。人工の黒部湖には遊覧船もある。,4月中旬～11月,0261-22-0804,http://www.kurobe-dam.com,その他の名所,Kurobe Dam,Toyama Prefecture,"Nakaniikawa District, Toyama Tateyama-machi Ashikuraji beech national forests","This dam which was built in Kurobe is Japan’s largest arch dome dam.  Its height is 186 meters and its’length an astounding 492 meters, holding back about 200 million tons of water.  It was completed in 1963.  The water is discharged between June 26th through October 15th making it a heightened tourist attraction.  Boats are available for viewing.",Mid April to November,Other Points of Interest,
豊橋総合動植物公園（のんほいパーク）,愛知県,豊橋市大岩町大穴１－２３８,のんほいパークの愛称で親しまれている動植物公園。広い園内にはサイやシマウマなどがいるアフリカ園、極地動物館が点在し、数多くの動物が飼育されている。,通年,0532-41-2185,http://www.toyohaku.gr.jp/tzb/,公園・緑地,Toyohashi General Botanical Park (Non Hoi),Aichi Prefecture,"Toyohashi Oiwa-cho, large hole 1-238","This plants and animals park has been nicknamed Non Hoi Park.  There are attractions ranging from African gardens to zebras, as well as a polar bar exhibit. The animal population of the park is increasing.",all year,Parks and nature,
おはらい町,三重県,伊勢市宇治中之切町、宇治今在家町,宇治橋から約800m続く内宮の鳥居前町。伊勢独特の切り妻入りの建物が立ち並び、みやげものや食事処の店が軒を連ねる。町の一角に観光名所のおかげ横丁がある。,通年,0596-21-5565,,伝統的町並み・家並み,Oharai cho,Mie Prefecture,"Ise Ujinakanokiri Town, Ujiimazaike cho","From the town of Toriimae, you will find the Uji bridge followed by the Ise inner sanctuary approximately 800 meters away.  The Bridge is lined with unique gables, and you will find  food and souvenir shops as well.  This part of the town is a very active tourist attraction.",all year,Traditional town-houses,
夫婦岩,三重県,伊勢市二見町江,二見浦の海上に鎮座する大小2つの岩で、太いしめ縄で結ばれている。これは夫婦岩の沖合700mに沈む興玉神石と日の出を拝す鳥居の役割を果たしているという。日の出の名所。,通年,0596-43-2020,http://www.amigo2.ne.jp/^oki-tama/,岩,Meotoiwa,Mie Prefecture,"Ise Futami-cho, Jiang","On the coastline of futamiura there are two rocks, one large and one small, that are tied up with ropes giving the appearance that the rocks are like a married couple.  They stand approximately 700 meters from the shoreline  partially submerged.  These rocks are referred to as the “okitamashinseki” rocks and seem to be worshiping the sunrise.",all year,Rock,
名古屋能楽堂,愛知県,名古屋市中区三の丸１丁目１－１,能舞台は総檜で伝統的な日本建築。併設の展示室には能に関する資料がわかりやすく展示されている。初心者にはイヤホンガイドでの解説もある。,通年,052-231-0088,http://www.bunka758.or.jp,歴史的建造物,Nagoya Noh Theater,Aichi Prefecture,"Naka-ku, Nagoya Sannomaru 1-chome 1-1",The Noh stage is made with Japanese cypress and was built traditional Japanese style architecture.  The adjoining exhibition room has easy-to-understand documentation.  You can even listen to guide instructions on the earpiece available for first time visitors.,all year,Historic monuments,
福井県立恐竜博物館,福井県,勝山市村岡町寺尾５１－１１,日本最大級の恐竜化石発掘フィールドに近い博物館・研究機関として、世界の注目を集める博物館。最新の研究を元にした特別展も開催され、大人も子供も楽しめる。,通年,0779-88-0001,http://www.dinosaur.pref.fukui.jp/,博物館,Fukui Prefectural Dinosaur Museum,Fukui Prefecture,Katsuyama Murokochoterao 51-11,"Near the museum, there is a research institution housing Japans largest dinosaur fossil excavation field which has gained world recognition.  This is a special exhibition which was based on the latest research, which both adults and children can enjoy alike.",all year,Museum,
白川郷合掌造り集落,岐阜県,大野郡白川村荻町,世界遺産に登録された静かな山村。114棟の合掌造りの建物をはじめ、豪雪地帯に暮らす人々の独特の文化や民俗芸能などが数多く残っている。国の重要文化財、和田家などがある。,通年,05769-6-1013,http://shirakawa-go.org,伝統的町並み・家並み,Shirakawa-go Gassho-style village,Gifu Prefecture,Ohno County Shirakawa-mura Ogimachi,"There is a quiet mountain village which has been registered as a World Heritage Site.  This village is noted as having 114 “Gassho style” architectures buildings, which focuses on the unique culture and renaissance  of the people who live here and the heavy snow it receives.  Specifically, the Wada house is the most notable.",all year,Traditional town-houses,
なばなの里,三重県,桑名市長島町駒江漆畑２７０,季節の花に満ちたテーマパーク。「ベゴニアガーデン」を中心に、広々とした庭園、露天風呂が楽しめる「里の湯」、地ビールレストランなどがそろい、一日楽しめる。,通年,0594-41-0787,http://www.nagashima-onsen.co.jp/,遊園地,Sato such Bana,Mie Prefecture,Kuwana Nagashima Komae Urushibata 270,"A theme park filled with seasonal flowers and a “Begonia Garden"" being one of the main attractions.  This garden is spacious.  Also, you can enjoy an open-air hot water communal bath and a natural beer at the restaurant completing your day in a joyous way.",all year,Amusement park,
茶臼山高原,愛知県,北設楽郡豊根村坂宇場御所平７０－１８５,ロッジやレストラン、キャンプ場、国民休暇村、山頂展望台等が緑に包まれたリゾート。春夏秋冬、バラエティに富んだレジャーが楽しめる。茶臼山高原道路が無料化され交通の便もよい。,通年,0536-87-2345（テレフォンサービス0536-87-2070）,http://www.chausuyama.jp/,高原,Chausuyama Plateau,Aichi Prefecture,Kitashitara County Toyone Sakauba Goshotaira 70-185,"Featuring resort lodges, restaurants, campgrounds, and a mountain top observatory, this village is enriched by the surrounding nature landscape.  You can enjoy all it year round leisurely as its enriched in variety.  The Chausuyama plateau road provides access for all your transport links. ",all year,Plateau,
名鉄百貨店　本店,愛知県,名古屋市中村区名駅１丁目２－１,ファッションと食品が充実したデパート。トレンド感のあるファッションアイテムの品ぞろえには定評がある。名鉄百貨店のマスコットキャラクター「ナナちゃん」は待ち合わせ場所として有名。,通年,052-585-1111,http://www.e-meitetsu.com,デパート,Meitetsu Department Store Head Office,Aichi Prefecture,"Nakamura-ku, Nagoya, Meieki 1-chome 2-1","This place is filled with fashion department stores, restaurants, and provides a fulfilling trip.  They have a reputation of providing an assortment of fashion items which are trend setting.  The mascot for the Meitetsu Department store is “Nana-chan” which is famous for the locals and tourists alike. ",all year,Department store,
相倉合掌造り集落,富山県,南砺市相倉,山々の風景と溶け合った、合掌造り集落。ユネスコの世界遺産にも登録されている。地域住民が現在も生活しており、集落内には8軒の民宿がある。集落の奥には相倉民俗館がある。,通年,0763-66-2123,,伝統的町並み・家並み,Ainokura Gassho-style village,Toyama Prefecture,Nanto Ainokura,"Registered as an UNESCO World Heritage Site, this village provides landscape of what seems to be mountains which melt together, and structures built in the Gassho-style architecture.  In the back of the village there is the Ainokura Folk Museum and 8 hotels/inns to chose from.",all year,Traditional town-houses,
サツキとメイの家,愛知県,長久手市茨ヶ廻間乙１５３３－１　愛・地球博記念公園内,平成17（2005）年に開催された、愛知万博で大人気だった施設。映画『となりのトトロ』の主人公の家。見学は予約が便利。観覧希望日の前々日まで購入可能。空きがある場合当日先着順受付もあり。,通年,0561-64-1130,http://moricoro-park.com/shisetsu/satsukitomei/,その他の文化施設,Satsuki and Mei's house,Aichi Prefecture,Nagakute Shiibara months Hazama B 1533-1 Aichi Expo Memorial in the park,"This location is famous for housing the Aichi Expo in 2005.  It also is known for being the “home of Totoro”which is a popular children’s anime show in Japan.  You are able to take the “my neighbor Totoro”tour which you can conveniently reserve your tickets.   They can be purchased up to two days prior your desired tour date.  Should you forget to pre-purchase your tickets, you can also purchase tickets the day of your trip on a first-come-first-serve basis if there is available space.",all year,Other cultural facilities,
義経の舟隠し,石川県,羽咋郡志賀町前浜地内,間口5mほど、奥行き約100mという細長く深い入江。周辺は義経伝説が残されており、奥州に向かう一行が入り江に50艘近い船を隠したといわれる。,通年,0767-32-1111,,特殊地形,Boat Hidden Yoshitsune,Ishikawa Prefecture,Hakui-gun Shiga foreshore areas within,"Coves with a width of about 5 meters and run in a straight line for approximately 100 meters, there are folklore legends such as the Legend of Yoshitsune which state that Oshu hid 50 ships within the cove.",all year,Special terrain,
若狭和田海水浴場,福井県,大飯郡高浜町和田,環境省の「日本水浴場88選」に選定された白く美しい砂浜と遠浅で水がきれいな海。若狭路の海水浴場のメッカともいえるここは、若者や家族連れなど、多くの人たちで賑わう。,7月上旬～8月中旬,0770-72-0338,http://www.wakasa-takahama.jp/,海水浴場・湖水浴場,Wakasa Wada beaches,Fukui Prefecture,Ohi County Takahama Wada,"Water which was selected by the Ministry of Environment in Japan as one of the top 88 places to visit, providing a place to see crystal clear water and pristine white sandy beaches.  It is also said that you will find the Mecca of Wakasa trail which leads to the amazing beaches  in the area.  Both young and old people, as well as families have deemed it as a popular place to visit.",Early July through Mid August,"Beach, Lake Baths",
乗政大滝,岐阜県,下呂市乗政,周囲にそびえる1600m級の山々から集まった水が、落差約21mの滝となって落ちていく。周辺は散策路も整備され、また水温変化が少ないことからワサビ栽培に利用されている。,通年,0576-24-2222,,滝,Norimasa Otaki,Gifu Prefecture,Gero Norimasa,Water cascading down over 1600 meter mountains towering in the back drop find their way to a point where a waterfall approximately 21 meters high can be found.  The fertile area surrounding the waterfall has been utilised in wasabi cultivation and a walking path for explorers has been built.  The change in the water temperature is minimal.,all year,Waterfalls,
ナナちゃん人形,愛知県,名古屋市中村区名駅1-2-1 名鉄百貨店メンズ館1Fエントランス前,"高速バスで名古屋入りし、名鉄バスセンターから見当をつけて出ると、ぴったり「ナナちゃん」前だった！
季節によって衣替えするようで、夏の水着だったら、目のやり場に困るかなぁ＾＾
サンタスタイルや着物姿も見てみたいし、待ち合わせ場所にも使いたいね♪",,-,,その他の名所,Nana-chan doll,Aichi Prefecture,"Nakamura-ku, Nagoya, Meieki 1-2-1 Meitetsu Department Store Men's Building 1F Entrance before","Is Nagoya filled with high-speed bus, and leave it with the idea from Meitetsu Bus Center, was before perfect ""Nana-chan!""
And seems to be reinvented by season, and you were bathing suit in the summer, and I wonder if trouble in the eyes of the unfocused ^^
I want to take a look at Santa style and kimono, I want to use in meeting place ♪",,Other Points of Interest,
新穂高ロープウェイ,岐阜県,高山市奥飛騨温泉郷　新穂高,日本初の2階建てロープウェイが運行。新穂高温泉駅から標高2156mの西穂高口まで3200m、約20分間の空中散歩を楽しめる。西穂高口には、展望レストランや千石園地がある。,通年,0578-89-2252,http://www.okuhi.jp/,ロープウェイ・ケーブルカー,Shinhotaka Ropeway,Gifu Prefecture,Takayama Okuhidaonsengo Shinhotaka,"Here you will find Japan's first two-line ariel tramway. You can travel from the Shinhotaka Onsen Station to the west Hodaka port at altitudes of around 2156m to 3200m.  The ride takes about 20 mins. In West Hodaka, restaurants and Sengoku orchards.",all year,Ropeway cable car,
郡上八幡城（積翠城）,岐阜県,郡上市八幡町柳町一の平６５９,4層5階建ての木造で、遠藤盛数により永禄2（1559）年築城。現在の城は昭和8（1933）年に再建。木造再建城では日本最古。天守閣からは町が一望でき、もみじの名城として新緑や紅葉も人気。,通年,0575-67-1819,http://www.gujohachiman.com/siro/,城址,Gujo Hachiman Castle (Sekimidori-jo),Gifu Prefecture,"Gujo Hachiman-cho, willow-cho, one of the flat 659","In a four-layer five-story wooden, 1559 fortification by Sheng Endo number. The current castle in 1933 to rebuild. Japan oldest wooden reconstruction Castle. Town views from the castle tower, fresh green and red leaves also popular as a castle of maple.",all year,Site of an ancient castle,
キリンビアパーク名古屋（レストラン　ブルワーズハウス）（見学）,愛知県,清須市寺野花笠１００,「驚きと感動、心が動く」をテーマに600インチの超ワイド映像等4つの最新特殊映像手法を採用し、5感に訴える体感型、臨場感ある展示空間がある。,通年,052-408-2000（レストランは052-400-8260）,http://www.kirin.co.jp/beerpark-nagoya,その他の見学施設,Kirinbiapaku Nagoya (Restaurant Brewers House) (tour),Aichi Prefecture,Kiyosu City Terano Hanagasa 100,"""Excitement and surprise, mind moves"" the theme adopted an ultra-wide video, etc. The four latest special video technique of 600 inches, experience types that appeal to five senses, there is a exhibition space that is realistic.",all year,Other tour facility,
トヨタ会館,愛知県,豊田市トヨタ町１,トヨタ自動車のクルマづくりへの取り組みを紹介。環境や安全に関する最新技術を見られるほか、モータースポーツのコーナーや新車ショールームなどがある。,通年,0565-29-3345,http://www.toyota.co.jp/toyotakaikan/,資料館・郷土館,Toyota Kaikan,Aichi Prefecture,"Toyota City Toyota-cho, 1","Introducing the commitment to car manufacturing of Toyota Motor Corporation. In addition to seen the latest technology on the environment and safety, motor sports corner and new car showrooms, and the like.",all year,Museum-local Museum,
平和公園,愛知県,名古屋市千種区平和公園３丁目３８０１,平和への願いを込めて緩やかな丘陵地帯に作られた墓地公園。広々とした園内には針葉樹や広葉樹など自然林が残り、散策を楽しむには最適のスポットだ。猫ヶ洞池では釣りも楽しめる。,通年,052-782-2111,,公園・緑地,Peace Park,Aichi Prefecture,"Chikusa-ku, Nagoya Peace Park 3-chome 3801","Cemetery park made a gentle hills and the hope for peace. Spacious park remaining natural forests such as softwood and hardwood in the, it's the best spot to enjoy a stroll. I also enjoy fishing in Neko~kehora pond.",all year,Parks and nature,
伊良湖岬灯台,愛知県,田原市伊良湖岬,伊良湖岬の最先端に建つ白亜の灯台。恋路ヶ浜から歩いて行くことができる。海原を行く船の安全を守るとともに、渥美半島のシンボル的な存在となっている。,通年,0531-23-3516,http://www.taharakankou.gr.jp/spot/000008.html,灯台,Irago cape lighthouse,Aichi Prefecture,Tahara Irago cape,"Chalk lighthouse built on state-of-the-art Irago cape. It is possible to walk from Koiji months beach. As well as protect the safety of the ship to go the ocean, it has become a symbolic presence of Atsumi Peninsula.",all year,Lighthouse,
永保寺,岐阜県,多治見市虎溪山町１丁目４０,臨済宗南禅寺派の禅寺で、見事な庭園美に定評がある古刹。鎌倉末期に足利尊氏の寄進により建築され夢窓国師によって開基された。観音堂や開山堂は国宝に指定されている。庭園は国の名勝に指定。,通年,0572-22-0351,,寺院（観音・不動）,Eihō-ji,Gifu Prefecture,Tajimi tiger 溪山 cho 1-chome 40,"In Rinzai sect of Zen temple Nanzenji, ancient temple that have a reputation for stunning garden beauty. It has been open group by the architect is Yumemado Kokushi by donated of Takauji Ashikaga in Kamakura late. Kannon and Kaisando has been designated a national treasure. Garden designated as a national scenic spot.",all year,Temple (Goddess of Mercy-motionless),
石川県庁展望ロビー,石川県,金沢市鞍月1-1 石川県庁19階,"金沢を一望できます。
ただ、郊外なので、どうなんでしょう？　ひがし茶屋街の上に卯辰山があるのですが
そこからの風景の方が金沢らしいような気もしました",,076-225-1362,,タワー,Ishikawa Prefectural Office outlook lobby,Ishikawa Prefecture,"Kanazawa, Ishikawa Prefectural Government Kratky 1-1 19th floor","I can overlook the Kanazawa.
However, because the suburbs of, you will do what about? I have a Mount Utatsu on the east Old Town
Better landscape from there was also feel like seems Kanazawa",,Tower,
福井県陶芸館,福井県,丹生郡越前町小曽原１２０－６１,日本六古窯に名を連ねる越前焼きは、平安時代末期に築窯したとされる。薪の灰によってできる自然釉の風合いが魅力だ。,通年,0778-32-2174,http://www.togeikan.jp/togeikan.html,その他の体験施設,Fukui Prefecture Pottery Museum,Fukui Prefecture,Niu County Echizen Ozohara 120-61,"Echizen grilled are contiguous the name in Japan six old kiln, it is to have Chikukama in the late Heian period. Texture of natural glaze that can by firewood ash attractive.",all year,Other experience facility,
金沢２１世紀美術館,石川県,金沢市広坂１丁目２－１,円形のユニークな建物で、周囲はすべてガラス張りというざん新なデザインが目を引く美術館。レアンドロ・エルリッヒ作の「スイミング・プール」などのコミッションワークが人気を呼んでいる。,通年,076-220-2800,http://www.kanazawa21.jp/,美術館・ギャラリー,"21st Century Museum of Contemporary Art, Kanazawa",Ishikawa Prefecture,Kanazawa Hirosaka 1-chome 2-1,"A circular unique building, eye-catching innovative design that all surrounding glass museum. Commission work, such as ""swimming pool"" of Leandro Erlich work is gaining in popularity.",all year,Museum Gallery,
