観光地名,都道府県,住所,紹介文,営業日,電話番号,参考URL,写真,カテゴリー
おはらい町,三重県,伊勢市宇治中之切町、宇治今在家町,宇治橋から約800m続く内宮の鳥居前町。伊勢独特の切り妻入りの建物が立ち並び、みやげものや食事処の店が軒を連ねる。町の一角に観光名所のおかげ横丁がある。,通年,0596-21-5565,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOcDFOeGM4Q3ZLWmc/edit?usp=docslist_api,伝統的町並み・家並み
夫婦岩,三重県,伊勢市二見町江,二見浦の海上に鎮座する大小2つの岩で、太いしめ縄で結ばれている。これは夫婦岩の沖合700mに沈む興玉神石と日の出を拝す鳥居の役割を果たしているという。日の出の名所。,通年,0596-43-2020,http://www.amigo2.ne.jp/^oki-tama/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOTUpKSllCSXpLUnM/edit?usp=docslist_api,岩
名古屋能楽堂,愛知県,名古屋市中区三の丸１丁目１－１,能舞台は総檜で伝統的な日本建築。併設の展示室には能に関する資料がわかりやすく展示されている。初心者にはイヤホンガイドでの解説もある。,通年,052-231-0088,http://www.bunka758.or.jp,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOZ1ZRaWZmRjFralk/edit?usp=docslist_api,歴史的建造物
福井県立恐竜博物館,福井県,勝山市村岡町寺尾５１－１１,日本最大級の恐竜化石発掘フィールドに近い博物館・研究機関として、世界の注目を集める博物館。最新の研究を元にした特別展も開催され、大人も子供も楽しめる。,通年,0779-88-0001,http://www.dinosaur.pref.fukui.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAObW5HYlRldlNhRW8/edit?usp=docslist_api,博物館
白川郷合掌造り集落,岐阜県,大野郡白川村荻町,世界遺産に登録された静かな山村。114棟の合掌造りの建物をはじめ、豪雪地帯に暮らす人々の独特の文化や民俗芸能などが数多く残っている。国の重要文化財、和田家などがある。,通年,05769-6-1013,http://shirakawa-go.org,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOdXBoYVh1eFJUWWM/edit?usp=docslist_api,伝統的町並み・家並み
茶臼山高原,愛知県,北設楽郡豊根村坂宇場御所平７０－１８５,ロッジやレストラン、キャンプ場、国民休暇村、山頂展望台等が緑に包まれたリゾート。春夏秋冬、バラエティに富んだレジャーが楽しめる。茶臼山高原道路が無料化され交通の便もよい。,通年,0536-87-2345（テレフォンサービス0536-87-2070）,http://www.chausuyama.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOeWNNaDR6ektnQ2c/edit?usp=docslist_api,高原
名鉄百貨店　本店,愛知県,名古屋市中村区名駅１丁目２－１,ファッションと食品が充実したデパート。トレンド感のあるファッションアイテムの品ぞろえには定評がある。名鉄百貨店のマスコットキャラクター「ナナちゃん」は待ち合わせ場所として有名。,通年,052-585-1111,http://www.e-meitetsu.com,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOTXdXQ25qS3BfNzA/edit?usp=docslist_api,デパート
相倉合掌造り集落,富山県,南砺市相倉,山々の風景と溶け合った、合掌造り集落。ユネスコの世界遺産にも登録されている。地域住民が現在も生活しており、集落内には8軒の民宿がある。集落の奥には相倉民俗館がある。,通年,0763-66-2123,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAObXRDQVR6MHF0dDg/edit?usp=docslist_api,伝統的町並み・家並み
郡上八幡城（積翠城）,岐阜県,郡上市八幡町柳町一の平６５９,4層5階建ての木造で、遠藤盛数により永禄2（1559）年築城。現在の城は昭和8（1933）年に再建。木造再建城では日本最古。天守閣からは町が一望でき、もみじの名城として新緑や紅葉も人気。,通年,0575-67-1819,http://www.gujohachiman.com/siro/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOdEtkbGNnS1B1ZFE/edit?usp=docslist_api,城址
鳳来寺山,愛知県,新城市門谷鳳来寺１,麓の表参道から鳳来寺本堂へと続く石段の道中は、まさに自然の宝庫。うっそうとした杉木立に囲まれ、モリアオガエルやコノハズク（「声のブッポウソウ」）の生息地がある。,通年,0536-32-0022,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAORllRUjVlV2dQMXc/edit?usp=docslist_api,山
